,date,volcano,clear_1,clear_2,clear_3,clear_4,clear_5,clear_6,clear_7,clear_8
70,2018-10-19,1.2877960386958875e-07,-8.432997447016533e-07,-1.9091231706624967e-08,-2.260197184966728e-08,0.0,-2.8173184674074037e-08,-2.277408981399276e-07,-2.5319269525425625e-07,-1.1333757754528051e-07
71,2018-10-20,-1.4593230446280359e-07,-2.8996197443120764e-07,-1.5090327565303596e-07,0.0,2.1916609682648414e-07,-4.966924507243675e-07,1.830686073844845e-07,2.876639086935029e-07,1.1358973495134705e-07
72,2018-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2018-10-22,-1.3563583145526081e-08,1.26894394725241e-06,-6.981878755141224e-07,3.5976734125142684e-07,-1.0300373105565086e-06,1.3259822253530729e-06,1.6459697462778422e-06,0.0,-1.826600623644481e-06
74,2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2018-10-25,-1.1996653670465207e-09,-7.036509686031422e-08,-2.602315518629439e-08,7.400361710097059e-07,2.2680238487282622e-07,4.591202298342978e-07,1.1970847424436215e-07,-2.9385458510944318e-09,5.281165726955805e-07
76,2018-10-26,0.0,0.0,0.0,0.0,-2.3768399159962428e-07,-9.396014206686232e-07,-7.375945898502323e-08,-1.3333756498923321e-07,-3.086121935780284e-08
77,2018-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2018-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2018-10-29,0.0,0.0,0.0,0.0,-2.4843191681611643e-07,-5.472664810213246e-08,0.0,0.0,0.0
80,2018-10-30,0.0,4.714823376161803e-08,0.0,0.0,3.4250840030836116e-07,8.66289369128026e-08,3.7088614135427633e-07,4.2251866005926786e-08,0.0
81,2018-10-31,4.015289079006834e-08,-5.257942916614411e-07,-6.200140774126339e-07,3.1357075158666703e-07,0.0,0.0,-3.643132231445634e-07,2.998051940039659e-08,-1.875505120096932e-07
82,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2018-11-02,0.0,-6.448595257779743e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2018-11-03,0.0,-3.550228200310812e-08,0.0,0.0,2.912711067892815e-07,2.093526063617901e-07,0.0,-6.054521008991287e-07,-1.1655752274464248e-07
85,2018-11-04,0.0,-3.2705823826972846e-08,-3.153826710899921e-08,0.0,1.6972675709325813e-08,6.632787119542627e-08,0.0,1.2283087436060214e-08,0.0
86,2018-11-05,1.6346415065982e-07,2.819453115421311e-08,1.461658314383385e-07,0.0,-6.288336749094015e-07,-3.116214770670922e-07,4.2503023678364116e-07,-9.275748169557119e-08,-2.7009232894670276e-07
87,2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2018-11-07,4.91704122396186e-06,-1.9517352711773128e-07,-2.851791407465498e-07,1.916496785270283e-06,3.1071076591615565e-06,5.344296027942619e-07,5.939003813182353e-07,0.0,1.840426762100833e-06
89,2018-11-08,3.9324933709394827e-07,-2.2161407287057955e-07,0.0,-1.2832097162629452e-08,4.982390322538777e-08,-3.291322911991301e-07,2.4132688736244745e-07,-1.7843468924638728e-07,-4.942905889038229e-07
90,2018-11-10,-1.4183092922337437e-08,-2.41619261487358e-07,3.656024460951812e-08,0.0,4.7554820525874675e-08,0.0,4.390970698153751e-09,0.0,0.0
91,2018-11-11,7.22524404750402e-08,0.0,-7.465705920139953e-08,3.142884708040583e-08,7.894893627735655e-08,4.0261426192955696e-07,1.3351129268812656e-07,5.3609717554081726e-08,6.320465928411068e-08
92,2018-11-12,0.0,8.892563414519827e-07,-3.406973405617464e-07,0.0,0.0,0.0,-4.1448959109402495e-07,0.0,0.0
93,2018-11-13,0.0,-4.229189300986036e-07,-5.886784606445872e-07,0.0,-5.073210331829614e-07,-5.351672029973997e-07,3.401933312829897e-08,-6.64153958496172e-08,0.0
94,2018-11-14,0.0,0.0,0.0,0.0,-1.481539726455594e-07,2.614532590428098e-08,0.0,0.0,0.0
95,2018-11-16,0.0,0.0,0.0,0.0,3.8780900268875484e-08,5.733207899538684e-07,0.0,-5.789510737486125e-07,0.0
96,2018-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2018-11-18,2.3295588107430376e-06,4.507839435063943e-07,1.4412007942610217e-07,2.4589304814526258e-08,1.6756365539549734e-07,-4.283779730940296e-07,3.3113792596850544e-07,9.076969718080363e-07,-9.895683206195827e-07
98,2018-11-19,-8.510307480946722e-08,-9.330446415489746e-10,4.7342222586621574e-08,0.0,2.5897408661990085e-09,2.795184173010057e-07,2.6704306321789772e-08,4.142195564327267e-08,2.2287372303253505e-07
99,2018-11-20,6.756935277962839e-08,0.0,0.0,0.0,1.2909088127344148e-06,6.401165251190832e-07,5.744508371208212e-07,-1.3052243730271584e-07,-1.0995130139690446e-08
100,2018-11-21,0.0,0.0,0.0,0.0,-1.3418883781923796e-07,0.0,0.0,0.0,0.0
101,2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2018-11-23,3.2616972589494253e-07,7.334535894187866e-07,1.4731539010881534e-07,2.0918409404657723e-07,-4.6398557174143207e-07,2.6187825596935e-07,1.0629738653733511e-06,9.980228554695714e-08,5.009098344999074e-07
103,2018-11-24,-3.782473712021783e-08,1.0440893305485588e-07,9.160430067822745e-07,-1.6392235124840226e-07,2.6722403845269582e-08,7.078919566083641e-07,1.2568233387355576e-07,-1.3277603727601672e-07,1.3269426801798545e-07
104,2018-11-26,1.11870451746654e-06,1.9812566165455792e-07,5.388026806940616e-07,-1.0789772204589099e-06,9.196043606607418e-07,5.216560907683743e-07,7.256164735736093e-07,6.156679432933743e-07,-4.2769067931658356e-07
105,2018-11-27,2.445745167278801e-06,1.3603967090602964e-06,2.7201708689972293e-06,-7.344078767346218e-08,9.95452182905865e-07,-1.1364057428409069e-07,8.616501645519747e-07,-5.924021024839021e-07,4.156640329711081e-07
106,2018-11-28,0.0,3.7127813357074047e-07,2.2301935587165644e-06,1.8955999792069633e-07,0.0,0.0,7.444608058904123e-07,0.0,0.0
107,2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2306910807401437e-07
108,2018-11-30,1.4248536217564833e-06,-7.986619010580398e-08,8.446550054941326e-07,1.2767449106831918e-06,3.713435887675587e-07,1.3841979580320185e-06,-3.119958478237095e-07,5.3591474369341086e-08,1.2927221177960746e-06
109,2018-12-01,1.657986246073051e-07,7.300039897017996e-07,-1.8632213993896585e-07,3.0558169328287477e-07,-4.6055313873694104e-07,-3.9576485733050504e-07,1.0532560281717451e-06,-2.3824597406019166e-07,7.315228423010467e-10
110,2018-12-02,2.461672465869924e-06,-2.2641470920348183e-08,-8.518200047546998e-07,-6.436591206693265e-07,-4.944556621921947e-07,-3.637046006588207e-07,1.1320212252030615e-06,3.802932155849703e-07,2.158469527557827e-07
111,2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2018-12-04,2.696128262869024e-07,-4.414106058447942e-07,1.4618687771417171e-07,-2.70984742201108e-07,6.321889713944984e-07,6.732423951660849e-09,-1.2931768367252516e-07,-4.239919064730202e-07,-9.498405120211828e-07
113,2018-12-05,4.949148433297523e-07,2.832732661772752e-06,1.4521461935146363e-06,9.815564681048272e-07,-1.1633958685308698e-08,0.0,2.074860503853415e-06,-1.1089149154486222e-08,4.150969914462621e-07
114,2018-12-06,4.349516075308202e-06,1.9264844013378024e-06,1.5810387594683561e-06,1.3531765716834343e-06,1.811901171322461e-07,1.1873145240315353e-06,1.108275228034472e-06,7.093535003832585e-08,1.3861538263881812e-06
115,2018-12-07,1.290737259296293e-06,1.1282019158898038e-06,3.647594439826207e-07,-4.304016272271838e-07,1.5101653616511612e-07,-1.135083493863931e-06,2.1708078747906256e-06,7.966357884470199e-07,2.2172555418364936e-06
116,2018-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2018-12-09,0.0,-5.109584435558645e-07,-1.9359751135539227e-08,0.0,1.2331022958278481e-07,0.0,-5.322580136635224e-07,0.0,0.0
118,2018-12-11,2.8117266737126556e-08,-8.146448493562275e-08,-3.4236359169881325e-07,4.886174576057556e-09,-7.324965167754272e-08,-4.137268305726138e-09,2.2515996533911675e-07,0.0,0.0
119,2018-12-12,6.962896463846846e-07,1.542469050264117e-07,2.625982631343504e-07,6.365708031808026e-07,3.369660817043041e-07,-5.502971021087433e-07,1.0320225101168035e-06,-1.1419465408835094e-06,9.371343594466452e-07
120,2018-12-13,0.0,0.0,0.0,0.0,1.7354118142520747e-07,-1.5395670516227256e-08,0.0,-9.237656684035755e-08,0.0
121,2018-12-14,0.0,9.493713264419057e-07,7.897662612776912e-08,0.0,0.0,0.0,1.0052033303509234e-06,0.0,0.0
122,2018-12-15,1.0618642818371882e-06,5.051202833783464e-07,4.298101146105182e-07,6.57310295082425e-07,7.557939625257859e-07,-4.977332537237089e-07,5.38443146069767e-07,-3.6021148730469577e-07,1.203690516149436e-07
123,2018-12-16,-1.4069630793756005e-08,1.9662834915834537e-07,-1.597746717152404e-07,0.0,-4.390878416415944e-08,3.6065654285266646e-07,0.0,2.88029156081393e-07,0.0
124,2018-12-17,1.0420853868708946e-06,1.5706792737546493e-06,1.6369746163036325e-06,1.2682228316407418e-06,3.750502912680531e-07,-5.062446462034131e-07,3.471831178103457e-06,4.511576889854041e-07,5.153637516741583e-07
125,2018-12-18,3.6666710911958944e-06,5.481280140884337e-07,-4.654389158531558e-07,-8.844891112858022e-07,-6.358894921731917e-08,2.5818724225246115e-07,1.2287642903174856e-06,-7.987929393493687e-07,-6.242972858672147e-07
126,2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2018-12-20,2.273512791362009e-07,9.648761079006363e-07,6.006774810884963e-07,-8.141604439515504e-07,-4.200740590931673e-07,-4.273988096770154e-08,8.925759971134539e-07,-4.5221696609587525e-07,2.155970513229022e-08
128,2018-12-21,9.386470196659502e-07,4.2823930357371864e-07,3.7169795064073696e-07,2.1893893631386163e-07,1.4695783256968298e-08,4.4076546146243345e-07,4.4707221036333067e-07,1.1448971548588815e-07,4.8437300392834e-07
129,2018-12-22,9.301510885961761e-07,1.3400226634985302e-06,5.145861337041424e-08,4.755891893637454e-07,5.960347948530398e-07,2.157840555128132e-07,1.7259105788980378e-06,1.1278176543783047e-06,1.2357938885543263e-06
130,2018-12-23,6.709113336000883e-07,1.270831489819102e-06,1.883279423964268e-06,1.9934495867346413e-06,6.762031148355163e-07,1.5598312756992527e-06,5.850869229107047e-07,-8.597546496957875e-08,1.1454540072008967e-06
131,2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2018-12-25,-1.5760984979351633e-06,-1.2418920505297137e-06,-9.31743841192656e-07,-4.7043187123563257e-07,-1.187612724606879e-06,-8.149627319653518e-07,-5.55272947622143e-07,2.8859526324254148e-08,-3.739351654985512e-07
133,2018-12-26,0.0,-1.3194972225960555e-08,0.0,0.0,9.274420342819667e-09,4.37346074022571e-07,-1.623705792042074e-08,-4.2913161024671354e-08,0.0
134,2018-12-28,8.403601725603949e-08,5.660582473865361e-07,-2.0899921082673245e-07,-3.0292628139250155e-07,6.659600870762006e-08,-7.54997586227546e-07,1.5433547559950966e-06,-1.6551355486171815e-07,-6.374112899720785e-07
135,2018-12-29,0.0,-3.1406028000446895e-08,5.377216325541667e-07,2.415221160845249e-07,-1.8532266210513626e-07,0.0,-8.029708453705098e-08,0.0,0.0
136,2018-12-30,0.0,-1.2180390740468283e-06,-5.645073883897567e-07,5.084964271873105e-08,0.0,0.0,3.0045399057598843e-07,0.0,0.0
137,2018-12-31,0.0,0.0,0.0,0.0,-1.706773034015896e-08,4.929080432702904e-07,-1.0314278853229553e-07,-4.837297495896564e-08,0.0
138,2019-01-01,1.0039270819106605e-06,8.683594501235348e-07,-7.325162698634813e-08,1.8485862085526605e-07,1.6494787757892482e-08,7.041585377010051e-07,1.2631799961582146e-07,5.064384254183096e-07,-7.321698092255247e-08
139,2019-01-02,1.8366583844908746e-06,1.5962365296218195e-07,1.0245459236557508e-07,1.4745613725608564e-06,8.999987812785548e-07,1.0061064585897839e-06,1.0146720796910813e-06,1.3908586424804525e-06,1.4869939377604169e-06
140,2019-01-03,1.5846106862227316e-06,4.703724414412136e-07,-7.310316618713841e-08,3.694310919399868e-07,6.240529160095321e-07,6.193675403665111e-07,1.2842751857533585e-06,-9.965485787688522e-07,1.0306239346391521e-06
141,2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2019-01-05,1.6151334136793594e-07,-3.2548922490605037e-07,1.031954070640495e-06,-6.358480959534063e-07,-9.580735422787257e-07,-1.0405828021475827e-07,-2.3525198855622875e-07,4.310536496632267e-07,-5.41412873644731e-07
143,2019-01-06,1.3549579591654037e-07,-1.6920684231536143e-07,-3.0942342732487305e-07,2.3526613546209774e-08,1.4454985830525402e-07,1.38270692673359e-07,2.2199415639079234e-07,3.025106991572102e-07,-9.875254391999988e-09
144,2019-01-07,0.0,0.0,0.0,0.0,-1.2444087538199256e-08,1.2020011297408928e-07,0.0,0.0,0.0
145,2019-01-08,0.0,0.0,-2.711574254021798e-08,0.0,-1.0070314004906322e-07,1.1558833890035203e-08,0.0,0.0,0.0
146,2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2019-01-10,-2.018937266257126e-07,3.021568204530922e-07,-1.1115567986053065e-06,-3.1050873872118245e-07,6.354613901748962e-07,-1.1966427564402693e-06,1.3082876648695674e-06,-3.8320561657201324e-07,-6.275425903368159e-07
148,2019-01-11,8.611623343313113e-07,4.2459396354388446e-07,1.3235544216172457e-08,1.0797092500069994e-06,0.0,0.0,5.417685997599619e-07,2.4206445914387587e-07,8.062462484303978e-07
149,2019-01-13,2.7938451694353716e-06,9.086451200346346e-07,6.118519308984105e-07,1.9962844817200676e-06,2.58156461541148e-07,1.964871216841857e-07,-7.618378106144519e-08,-1.5284828691619623e-07,1.1116813993794494e-06
150,2019-01-14,2.6858772343985038e-06,6.682151934001013e-07,1.5043334542497178e-06,2.2994199753156863e-06,3.7311704659259703e-07,-4.2566686175860013e-08,1.235992044712475e-06,1.1363928820173896e-07,1.0414958069304703e-06
151,2019-01-15,0.0,-2.117409581003926e-09,0.0,0.0,0.0,0.0,-3.780377255679923e-06,0.0,0.0
152,2019-01-16,3.439657234594051e-07,9.497667718960656e-08,8.953211505513536e-09,3.2143312012067327e-08,7.543465585513331e-08,-8.949319862949778e-07,-2.3362641599078415e-08,7.051715322781149e-10,-1.0642714443065415e-07
153,2019-01-17,1.7221377390796988e-07,8.895843279788096e-07,-4.481421171931288e-07,1.422588269406333e-07,-2.993121199779125e-07,-6.998013901693412e-08,9.417421438229212e-07,-3.0415185392485e-07,6.650416253251024e-07
154,2019-01-18,8.732089327168069e-07,1.7373477021465078e-06,2.5757111643542885e-07,-1.1143988558615092e-06,-4.122672407902428e-07,-5.489902150657144e-07,-3.3084040751418797e-07,-3.075316499234759e-07,-1.4692911065594672e-07
155,2019-01-19,1.1268447224210831e-06,-2.0038602599470323e-07,1.3431575496269943e-07,2.3863529463596933e-07,6.76767228924291e-07,-8.291025466178326e-08,1.6118279688726034e-07,9.717228977024206e-07,1.8408233870559343e-07
